卡片名稱 ,卡片編號,數量
影山 飛雄,HV-P01-006,4
日向 翔陽,HV-P01-003,4
月島 螢,HV-P01-008,3
山口 忠,HV-P01-010,3
西谷 夕,HV-P01-011,2
澤村 大地,HV-P01-014,3
田中 龍之介,HV-P01-012,4
菅原 孝支,HV-P01-015,4
東峰 旭,HV-P01-016,3
日向 翔陽,HV-PR-001,1
影山 飛雄,HV-PR-002,1
開放式進攻,HV-P01-078,4
我可沒有 1mm...,HV-P01-079,3
拼命向前衝,HV-P01-077,1
