卡片名稱 ,卡片編號,數量
孤爪 研磨,HV-D02-001,4
黑尾 鐵朗,HV-D02-002,4
夜久 衛輔,HV-D02-003,2
灰羽 列夫,HV-D02-004,4
海 信行,HV-D02-005,2
山本 猛虎,HV-D02-006,4
福永 招平,HV-D02-007,4
犬岡 走,HV-D02-008,4
芝山 優生,HV-D02-009,2
手白 球彥,HV-D02-010,2
手は前っつったでしょう ノブカツくん,HV-D02-011,4
物理攻撃でブッ倒ればいいんだよね,HV-D02-012,4
